Category: All categories

Month,ninja scroll: (United States)
2004-01,69
2004-02,100
2004-03,71
2004-04,63
2004-05,90
2004-06,46
2004-07,58
2004-08,57
2004-09,35
2004-10,39
2004-11,49
2004-12,49
2005-01,38
2005-02,28
2005-03,34
2005-04,35
2005-05,40
2005-06,36
2005-07,50
2005-08,46
2005-09,46
2005-10,27
2005-11,35
2005-12,39
2006-01,26
2006-02,30
2006-03,24
2006-04,32
2006-05,16
2006-06,39
2006-07,28
2006-08,36
2006-09,29
2006-10,26
2006-11,22
2006-12,25
2007-01,27
2007-02,28
2007-03,19
2007-04,28
2007-05,34
2007-06,37
2007-07,33
2007-08,31
2007-09,25
2007-10,28
2007-11,24
2007-12,38
2008-01,28
2008-02,44
2008-03,31
2008-04,35
2008-05,31
2008-06,64
2008-07,35
2008-08,28
2008-09,29
2008-10,30
2008-11,31
2008-12,28
2009-01,30
2009-02,29
2009-03,43
2009-04,36
2009-05,28
2009-06,31
2009-07,37
2009-08,33
2009-09,29
2009-10,29
2009-11,27
2009-12,29
2010-01,29
2010-02,26
2010-03,26
2010-04,25
2010-05,24
2010-06,34
2010-07,27
2010-08,25
2010-09,24
2010-10,20
2010-11,27
2010-12,29
2011-01,21
2011-02,24
2011-03,19
2011-04,21
2011-05,18
2011-06,22
2011-07,22
2011-08,19
2011-09,17
2011-10,18
2011-11,14
2011-12,18
2012-01,17
2012-02,13
2012-03,19
2012-04,18
2012-05,17
2012-06,19
2012-07,20
2012-08,19
2012-09,21
2012-10,13
2012-11,19
2012-12,19
2013-01,19
2013-02,18
2013-03,21
2013-04,16
2013-05,16
2013-06,16
2013-07,16
2013-08,20
2013-09,14
2013-10,15
2013-11,16
2013-12,16
2014-01,18
2014-02,15
2014-03,17
2014-04,17
2014-05,14
2014-06,15
2014-07,21
2014-08,16
2014-09,16
2014-10,14
2014-11,16
2014-12,13
2015-01,18
2015-02,15
2015-03,14
2015-04,13
2015-05,16
2015-06,13
2015-07,16
2015-08,16
2015-09,16
2015-10,18
2015-11,13
2015-12,16
2016-01,15
2016-02,13
2016-03,12
2016-04,12
2016-05,16
2016-06,12
2016-07,13
2016-08,11
2016-09,13
2016-10,11
2016-11,13
2016-12,14
2017-01,13
2017-02,18
2017-03,15
2017-04,14
2017-05,12
2017-06,13
2017-07,15
2017-08,11
2017-09,12
2017-10,13
2017-11,12
2017-12,13
2018-01,11
2018-02,17
2018-03,12
2018-04,11
2018-05,12
2018-06,10
2018-07,15
2018-08,12
2018-09,10
2018-10,10
2018-11,12
2018-12,12
2019-01,14
2019-02,12
2019-03,14
2019-04,10
